"V1","V2","V3"
"AIGLETON-NIVOSE","2012","-Inf"
"AIGLETON-NIVOSE","2013","-Inf"
"AIGLETON-NIVOSE","2014","-Inf"
"AIGLETON-NIVOSE","2015","-Inf"
"AIGLETON-NIVOSE","2016","-Inf"
"AIGLETON-NIVOSE","2017","-Inf"
"AIGLETON-NIVOSE","2018","-Inf"
"AIGLETON-NIVOSE","2019","-Inf"
"AIGLETON-NIVOSE","2020","-Inf"
"AIGLETON-NIVOSE","2021","-Inf"
"AIGLETON-NIVOSE","2022","0"
"ALLEVARD","1950","39.1"
"ALLEVARD","1951","55.5"
"ALLEVARD","1952","48.1"
"ALLEVARD","1953","43.8"
"ALLEVARD","1954","50.2"
"ALLEVARD","1955","74.5"
"ALLEVARD","1956","63"
"ALLEVARD","1957","43.1"
"ALLEVARD","1958","48.2"
"ALLEVARD","1959","51"
"ALLEVARD","1960","50.1"
"ALLEVARD","1961","50.1"
"ALLEVARD","1962","46.1"
"ALLEVARD","1963","53.3"
"ALLEVARD","1964","62.2"
"ALLEVARD","1965","44.3"
"ALLEVARD","1966","49"
"ALLEVARD","1967","47"
"ALLEVARD","1968","54.5"
"ALLEVARD","1969","59.3"
"ALLEVARD","1970","32.8"
"ALLEVARD","1971","69.3"
"ALLEVARD","1972","36.4"
"ALLEVARD","1973","49.2"
"ALLEVARD","1974","48"
"ALLEVARD","1975","65.8"
"ALLEVARD","1976","44"
"ALLEVARD","1977","41.7"
"ALLEVARD","1978","58"
"ALLEVARD","1979","40"
"ALLEVARD","1980","77"
"ALLEVARD","1981","40"
"ALLEVARD","1982","44"
"ALLEVARD","1983","74"
"ALLEVARD","1984","38"
"ALLEVARD","1985","50"
"ALLEVARD","1986","49"
"ALLEVARD","1987","51"
"ALLEVARD","1988","51"
"ALLEVARD","1989","52"
"ALLEVARD","1990","51"
"ALLEVARD","1991","76"
"ALLEVARD","1992","49"
"ALLEVARD","1993","39"
"ALLEVARD","1994","61"
"ALLEVARD","1995","48"
"ALLEVARD","1996","54"
"ALLEVARD","1997","54"
"ALLEVARD","1998","46"
"ALLEVARD","1999","45"
"ALLEVARD","2000","48"
"ALLEVARD","2001","50"
"ALLEVARD","2002","46"
"ALLEVARD","2003","48.9"
"ALLEVARD","2004","41.7"
"ALLEVARD","2005","69.3"
"ALLEVARD","2006","31.7"
"ALLEVARD","2007","39.4"
"ALLEVARD","2008","50.4"
"ALLEVARD","2009","58.7"
"ALLEVARD","2010","71.3"
"ALLEVARD","2011","69.9"
"ALLEVARD","2012","44.3"
"ALLEVARD","2013","61.9"
"ALLEVARD","2014","36.4"
"ALLEVARD","2015","49.2"
"ALLEVARD","2016","51.8"
"ALLEVARD","2017","38"
"ALLEVARD","2018","42.1"
"ALLEVARD","2019","63.3"
"ALLEVARD","2020","55.6"
"ALLEVARD","2021","40.1"
"ALLEVARD","2022","45.5"
"Le Collet d Allevard","1950","-Inf"
"Le Collet d Allevard","1951","-Inf"
"Le Collet d Allevard","1952","-Inf"
"Le Collet d Allevard","1953","-Inf"
"Le Collet d Allevard","1954","-Inf"
"Le Collet d Allevard","1955","-Inf"
"Le Collet d Allevard","1956","-Inf"
"Le Collet d Allevard","1957","-Inf"
"Le Collet d Allevard","1958","-Inf"
"Le Collet d Allevard","1959","-Inf"
"Le Collet d Allevard","1960","-Inf"
"Le Collet d Allevard","1961","-Inf"
"Le Collet d Allevard","1962","-Inf"
"Le Collet d Allevard","1963","-Inf"
"Le Collet d Allevard","1964","-Inf"
"Le Collet d Allevard","1965","-Inf"
"Le Collet d Allevard","1966","-Inf"
"Le Collet d Allevard","1967","-Inf"
"Le Collet d Allevard","1968","-Inf"
"Le Collet d Allevard","1969","-Inf"
"Le Collet d Allevard","1970","-Inf"
"Le Collet d Allevard","1971","53"
"Le Collet d Allevard","1972","-Inf"
"Le Collet d Allevard","1973","-Inf"
"Le Collet d Allevard","1974","-Inf"
"Le Collet d Allevard","1975","-Inf"
"Le Collet d Allevard","1976","-Inf"
"Le Collet d Allevard","1977","-Inf"
"Le Collet d Allevard","1978","-Inf"
"Le Collet d Allevard","1979","-Inf"
"Le Collet d Allevard","1980","-Inf"
"Le Collet d Allevard","1981","-Inf"
"Le Collet d Allevard","1982","-Inf"
"Le Collet d Allevard","1983","-Inf"
"Le Collet d Allevard","1984","-Inf"
"Le Collet d Allevard","1985","22"
"Le Collet d Allevard","1986","25"
"Le Collet d Allevard","1987","16"
"Le Collet d Allevard","1988","33"
"Le Collet d Allevard","1989","35"
"Le Collet d Allevard","1990","60.5"
"Le Collet d Allevard","1991","66"
"Le Collet d Allevard","1992","54"
"Le Collet d Allevard","1993","29"
"Le Collet d Allevard","1994","24.5"
"Le Collet d Allevard","1995","-Inf"
"Le Collet d Allevard","1996","-Inf"
"Le Collet d Allevard","1997","-Inf"
"Le Collet d Allevard","1998","-Inf"
"Le Collet d Allevard","1999","-Inf"
"Le Collet d Allevard","2000","-Inf"
"Le Collet d Allevard","2001","-Inf"
"Le Collet d Allevard","2002","31.5"
"Le Collet d Allevard","2003","38"
"Le Collet d Allevard","2004","33.8"
"Le Collet d Allevard","2005","43"
"Le Collet d Allevard","2006","25.6"
"Le Collet d Allevard","2007","27.7"
"Le Collet d Allevard","2008","21.1"
"Le Collet d Allevard","2009","35.9"
"Le Collet d Allevard","2010","2.7"
"Le Collet d Allevard","2011","32"
"Le Collet d Allevard","2012","28"
"Le Collet d Allevard","2013","48.7"
"Le Collet d Allevard","2014","44"
"Le Collet d Allevard","2015","30"
"Le Collet d Allevard","2016","29.4"
"Le Collet d Allevard","2017","37.4"
"Le Collet d Allevard","2018","45.5"
"Le Collet d Allevard","2019","35"
"Le Collet d Allevard","2020","39.7"
"Le Collet d Allevard","2021","45"
"Le Collet d Allevard","2022","36.7"
"AURIS","1950","-Inf"
"AURIS","1951","-Inf"
"AURIS","1952","-Inf"
"AURIS","1953","-Inf"
"AURIS","1954","-Inf"
"AURIS","1955","-Inf"
"AURIS","1956","-Inf"
"AURIS","1957","-Inf"
"AURIS","1958","-Inf"
"AURIS","1959","-Inf"
"AURIS","1960","-Inf"
"AURIS","1961","-Inf"
"AURIS","1962","-Inf"
"AURIS","1963","-Inf"
"AURIS","1964","-Inf"
"AURIS","1965","-Inf"
"AURIS","1966","-Inf"
"AURIS","1967","-Inf"
"AURIS","1968","-Inf"
"AURIS","1969","-Inf"
"AURIS","1970","-Inf"
"AURIS","1971","-Inf"
"AURIS","1972","-Inf"
"AURIS","1973","-Inf"
